accountsservice 0.6.55-3
net-tools 2.10-1
nethogs 0.8.6-1
network-manager-applet 1.24.0-1
networkmanager 1.32.10-1
networkmanager-openconnect 1.2.7dev+65+gca4187c-1
networkmanager-openvpn 1.8.14-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nfs-utils 2.5.4-1
ninja 1.10.2-1
nmap 7.92-1
nodejs 16.7.0-1
noto-color-emoji-fontconfig 1.0.0-1
noto-fonts 20201226-2
npm 7.21.0-1
nss-mdns 0.15.1-1
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numlockx 1.2-5
omnisharp-roslyn-bin 1.37.15-1
opencl-headers 2:2021.04.29-1
opencv 4.5.3-4
openresolv 3.12.0-1
openssh 8.7p1-1
os-prober 1.79-1
otf-font-awesome 5.15.4-1
p7zip 1:17.04-1
pacman 6.0.0-2
pamac-gtk 10.1.3-3
pamixer 1.4-6
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
perl 5.34.0-2
perl-file-mimeinfo 0.30-2
picom 8.2-1
pipes.sh 1.3.0-1
pkgconf 1.7.3-1
pkgfile 21-2
pktstat 1.8.5-3
playerctl 2.3.1-1
polybar 3.5.5-1
poppler-glib 21.08.0-1
powertop 2.14-1
procps-ng 3.3.17-1
pscircle 1.3.1-1
psmisc 23.4-1
pulseaudio-bluetooth 15.0-1
pulseaudio-ctl 1.70-1
pulseaudio-zeroconf 15.0-1
python-pip 20.3.4-1
qemu 6.0.0-3
qpdfview 0.4.18-2
qt5-charts 5.15.2-1
qt5ct 1.3-1
ranger 1.9.3.143.g5047d9e5-1
reiserfsprogs 3.6.27-3
ripgrep 13.0.0-2
rofi 1.6.1-1
rsync 3.2.3-4
runescape-launcher 2.2.9-1
rust 1:1.54.0-1
s-nail 14.9.22-1
samba 4.14.7-1
screenfetch 3.9.1-1
sed 4.8-1
sfml 2.5.1-2
shadow 4.8.1-4
shfmt 3.3.1-1
spectre-meltdown-checker 0.44-1
spicetify-cli-git .5.0.r2.g2a3e382-1
spotify-adblock 1:1.0.0-1
squashfs-tools 4.5-1
starship 0.56.0-2
steam-manjaro 1.0.0.71-1
subversion 1.14.1-3
sudo 1.9.7.p2-1
sysfsutils 2.1.1-1
systemd-fsck-silent 239-1
systemd-sysvcompat 248.7-1
tar 1.34-1
tcpdump 4.99.1-1
tcpflow 1.6.1-1
terminus-font 4.49.1-2
tesseract 4.1.1-7
tesseract-data-deu 2:4.1.0-1
tesseract-data-eng 2:4.1.0-1
tesseract-data-jpn 2:4.1.0-1
texinfo 6.8-2
tgui v0.9.1-1
thefuck 3.31-1
tk 8.6.11.1-1
tlp 1.3.1-2
tmux 3.2_a-1
traceroute 2.1.0-5
tree 1.8.0-2
ttf-bitstream-vera 1.10-14
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-fira-code 5.2-1
ttf-fira-mono 2:3.206-4
ttf-font-awesome 5.15.4-1
ttf-hack 3.003-3
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-joypixels 6.6.0-1
ttf-liberation 2.1.4-1
ttf-symbola-free 9.00-1
ttf-symbols-adf 1.001-1
udiskie 2.3.3-1
udisks2 2.9.3-1
ueberzug 18.1.9-2
unace 2.5-11
unityhub 2.4.3-3
unrar 1:6.0.7-1
usb_modeswitch 2.6.1-1
usbutils 014-1
util-linux 2.37.2-1
vagrant 2.2.16-1
virtualbox-bin 6.1.26-1
vis 0.7-2
visual-studio-code-insiders-bin 1628233592-1
vkd3d 1.2-1
vlc 3.0.16-3
vtk 8.2.0-20
vulkan-intel 21.2.1-1
vulkan-radeon 21.2.1-1
w3m 0.5.3.git20210102_6-1
wget 1.21.1-1
which 2.21-5
whois 5.5.10-1
windscribe-cli 1.4_51-1
wine 6.15-1
wmctrl 1.07-6
wpa_supplicant 2:2.9-8
xbacklight-ctl-git r39.03932a4-1
xbindkeys 1.8.7-2
xclip 0.13-3
xcursor-simpleandsoft 0.2-9
xcursor-vanilla-dmz-aa 0.4.5-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 1.1.0-1
xf86-input-synaptics 1.9.1-2
xf86-input-vmmouse 13.1.0-5
xf86-input-void 1.4.1-5
xf86-video-amdgpu 21.0.0-1
xf86-video-ati 1:19.1.0-2
xf86-video-dummy 0.3.8-4
xf86-video-fbdev 0.5.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-nouveau 1.0.17-1
xf86-video-openchrome 0.6.0-4
xf86-video-qxl-debian 0.1.5+git20200331-1
xf86-video-vesa 2.5.0-1
xf86-video-vmware 13.3.0-2
xf86-video-voodoo 1.2.5-11
xflux 20130901-5
xfsprogs 5.13.0-1
xiccd 0.3.0-1
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.13-3
xorg-twm 1.0.11-1
xorg-xev 1.2.4-1
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
xorg-xwininfo 1.1.5-2
yarn 1.22.11-1
yay 10.3.1-1
ytfzf 1.2.0-1
zeal 0.6.1-3
zensu 0.3-1
zoom 5.7.6-1
zsh 5.8-1
